athlete_id,source,signup_date,churn_date,status,transcript_coverage,tenure_days,first_msg,last_msg,presale_days,coach_msgs,athlete_msgs,athlete_share,weeks_paid,weeks_coach_wrote,weeks_athlete_wrote,weeks_coach_no_reply,weeks_coach_silent,athlete_reply_week_rate,athlete_msgs_per_week,max_silent_streak_weeks,trailing_silent_weeks,days_end_to_last_athlete_msg,median_reply_hours,p75_reply_hours,athlete_msgs_first4w,athlete_msgs_last4w,athlete_initiated_threads,churn_announced,athlete_msgs_last45d,msgs_after_churn,athlete_msgs_after_churn
Aef44e90c,TP Coach Match,2024-05-01,,active,full,864,2024-05-31,2026-09-07,-30,2407,1809,0.429,124,120,120,0,4,1.0,14.59,0,0,5,0.0,0.2,0,48,115,,,,
A93503497,TP Coach Match,2024-06-11,2025-11-10,churned,full,517,2024-06-05,2025-11-10,6,838,676,0.446,75,61,57,4,14,0.934,8.88,1,0,0,0.0,0.2,61,4,53,1,11,0,0
A0723dd11,TP Coach Match,2024-07-17,2026-05-17,churned,full,669,2024-07-18,2026-05-04,-1,488,185,0.275,96,91,80,11,5,0.879,1.93,2,1,13,0.0,0.3,20,1,7,1,4,0,0
A54e8039e,TP Coach Match,2024-07-23,2026-04-13,churned,full,629,2024-07-23,2026-02-23,0,2077,1798,0.464,91,84,84,0,7,1.0,19.76,0,7,49,0.0,0.1,229,0,212,0,0,0,0
Ad2468ed6,Private - Website,2024-07-01,2026-05-23,churned,full,691,2024-07-10,2026-06-04,-9,1225,1071,0.466,99,75,75,0,24,1.0,10.71,0,0,0,0.1,0.5,86,21,49,0,51,6,2
A9e152b26,TP Coach Match,2024-07-26,2025-09-30,churned,full,431,2024-07-25,2025-09-15,1,723,394,0.353,63,45,46,0,18,1.022,6.21,0,2,15,0.2,0.7,74,11,39,0,58,0,0
Afb65b38e,TP Coach Match,2024-08-28,2026-06-03,churned,full,644,2024-08-27,2026-06-03,1,954,670,0.413,93,87,86,1,6,0.989,7.13,1,0,0,0.9,8.1,38,11,110,1,12,0,0
A25a6ee8c,Private - Website,2024-09-02,2026-07-24,churned,full,690,2024-08-30,2026-09-10,3,905,606,0.401,99,84,81,3,15,0.964,5.6,1,1,9,0.0,0.0,52,12,54,1,14,49,21
A54e37b97,TP Coach Match,2024-09-16,2026-04-16,churned,full,577,2024-09-16,2026-03-23,0,507,407,0.445,83,69,61,9,14,0.884,4.9,2,3,24,0.0,0.2,63,1,35,0,7,0,0
Af96913f2,TP Coach Match,2024-10-31,2025-07-31,churned,full,273,2024-10-22,2025-07-28,9,441,283,0.391,40,40,40,0,0,1.0,6.35,0,0,3,0.0,0.1,26,32,13,1,52,0,0
