athlete_id,as_of,risk,pattern,unanswered_mondays_streak,goal_race_status
A0a412030,2026-09-12,low,engaged_healthy,0,upcoming
A0e183716,2026-09-12,low,engaged_healthy,0,upcoming
A1219ec52,2026-09-12,medium,pause_requested,2,none_stated
A2bfc89b3,2026-09-12,low,engaged_healthy,0,upcoming
A2fbbc23e,2026-09-12,medium,life_disruption,2,upcoming
A3d3cd954,2026-09-12,high,not_training_no_goal,7,none_stated
A41664142,2026-09-12,medium,injury_stalled,0,upcoming
A45c25508,2026-09-12,low,engaged_healthy,0,upcoming
A473506a7,2026-09-12,medium,goal_just_completed,0,none_stated
A48233859,2026-09-12,medium,injury_stalled,0,unknown
A6026a316,2026-09-12,high,not_training_no_goal,4,none_stated
A6d04ee79,2026-09-12,medium,life_disruption,1,upcoming
A759c1ad4,2026-09-12,medium,life_disruption,2,none_stated
A8925e90c,2026-09-12,low,engaged_healthy,0,upcoming
A8d82cd62,2026-09-12,low,engaged_healthy,0,upcoming
Aa24f7f04,2026-09-12,medium,injury_stalled,0,upcoming
Aa5b91314,2026-09-12,low,engaged_healthy,0,upcoming
Ac6dbd66b,2026-09-12,low,engaged_healthy,0,upcoming
Ac73a3a88,2026-09-12,medium,life_disruption,0,none_stated
Ac805c1df,2026-09-12,medium,not_training_no_goal,1,unknown
Ad036f490,2026-09-12,low,goal_just_completed,0,just_completed
Ad4d94ea9,2026-09-12,low,engaged_healthy,0,upcoming
Ad84b8588,2026-09-12,low,goal_just_completed,0,just_completed
Ada0283c8,2026-09-12,medium,price_or_money_signal,0,upcoming
Ae28cb6a1,2026-09-12,low,engaged_healthy,0,upcoming
Ae4413f27,2026-09-12,low,engaged_healthy,0,upcoming
Aeb01d127,2026-09-12,high,not_training_no_goal,0,upcoming
Aef44e90c,2026-09-12,low,goal_just_completed,0,just_completed
Af298ee4e,2026-09-12,low,engaged_healthy,0,upcoming
Af6117c15,2026-09-12,medium,low_responder_stable,1,just_completed
Afc2fdb90,2026-09-12,high,not_training_no_goal,1,none_stated
