athlete_id,source,signup_date,churn_date,churn_reason
Aef44e90c,TP Coach Match,2024-05-01,,
A93503497,TP Coach Match,2024-06-11,2025-11-10,paused_then_left
A0723dd11,TP Coach Match,2024-07-17,2026-05-17,left_not_training
A54e8039e,TP Coach Match,2024-07-23,2026-04-13,left_money
Ad2468ed6,Private - Website,2024-07-01,2026-05-23,goal_completed
A9e152b26,TP Coach Match,2024-07-26,2025-09-30,goal_completed
Afb65b38e,TP Coach Match,2024-08-28,2026-06-03,left_injury
A25a6ee8c,Private - Website,2024-09-02,2026-07-24,paused_then_left
A54e37b97,TP Coach Match,2024-09-16,2026-04-16,left_not_training
Af96913f2,TP Coach Match,2024-10-31,2025-07-31,goal_completed
Ac805c1df,TP Coach Match,2024-11-07,,
Ad036f490,TP Coach Match,2024-11-14,,
A28d455d6,TP Coach Match,2024-11-21,2025-05-11,left_injury
A3d3cd954,TP Coach Match,2024-12-23,,
Abe3cd49e,TP Coach Match,2024-12-23,2026-02-23,paused_then_left
Ae33df90a,Private - Ads,2024-12-23,2025-05-23,left_other_coach
Aacee1187,TP Coach Match,2025-01-02,2026-07-30,left_injury
Aa2b2d91c,TP Coach Match,2025-01-06,2025-11-30,paused_then_left
A6b941785,TP Coach Match,2025-01-08,2026-07-07,goal_completed
A77d82fae,TP Coach Match,2025-01-16,2025-08-16,left_other_coach
A1196f3c7,TP Coach Match,2025-01-19,2025-10-19,unknown
Ad4d94ea9,TP Coach Match,2025-01-29,,
A5d218979,Private - Referral,2025-01-20,2025-03-20,paused_then_left
Acd571435,TP Coach Match,2024-09-05,2025-05-05,left_injury
A759c1ad4,Private - Referral,2025-02-10,,
Af024602c,TP Coach Match,2025-02-19,2025-07-20,left_unresponsive
Acc52ffe4,Private - Referral,2025-02-24,2025-12-24,paused_then_left
Aac7a6076,TP Coach Match,2026-02-11,2026-06-11,left_life
Ab0f35a6e,TP Coach Match,2025-04-07,2025-05-08,left_injury
A77aac54c,TP Coach Match,2025-04-29,2025-11-29,downgraded_all_access
