exercise_name,artifact,type,parent_exercise,tag,dose,cue_chars,current_cue,harmonized_cue
Plancha lateral con rodillas apoyadas,core,variant,Plancha lateral,,,70,"Rodillas flexionadas y apoyadas. Misma línea de tronco, menos palanca.",
Perro boca abajo sostenido,core,variant,Plancha alta a perro boca abajo,,,80,"Quédate en el perro boca abajo todo el bloque, pedaleando suave con los talones.",
Cuádriceps de pie,core,variant,Couch stretch,,,82,"Parado, talón al glúteo, rodillas juntas y pelvis metida. Si el piso no es opción.",
Bird dog isométrico,core,variant,Bird dog,,,84,"Misma posición extendida, sostenida todo el bloque. Menos coordinación, más tensión.",
Elevación de talones,activacion,main,,Sin equipo,,86,Sube lento hasta la punta del pie y baja más lento todavía. La bajada es el ejercicio.,
Bird dog codo-rodilla,core,variant,Bird dog,,,86,"Entre repeticiones, junta codo y rodilla debajo del cuerpo antes de volver a extender.",
Zancada baja con rotación,core,variant,El mejor estiramiento del mundo,,,86,"Rodilla de atrás apoyada, misma rotación de tronco. Menos exigente para el equilibrio.",
90-90 sostenido,core,variant,Barridos 90-90 de cadera,,,87,"Quédate en la posición 90-90 de un lado, pecho alto, inclinándote suave hacia adelante.",
Plancha alta isométrica,core,variant,Plancha alta con toque de hombro,,,90,Sostén la plancha alta empujando el piso con las manos y la espalda ancha. Sin movimiento.,
Gato-camello sentado,core,variant,Gato-camello,,,93,"Sentado al borde de la cama, manos en las rodillas, misma secuencia. Si el piso no es opción.",
Plancha alta a rodillas,core,variant,Plancha alta a perro boca abajo,,,93,"Desde la plancha alta, baja a rodillas y vuelve. Si el hombro molesta en el perro boca abajo.",
Postura del niño sostenida,core,variant,Postura del niño a cobra,,,95,"Sentado sobre los talones, brazos estirados adelante, frente apoyada. Sin flujo, solo respirar.",
Plancha con rodillas apoyadas,core,variant,Plancha alta con toque de hombro,,,96,"Mismo toque de hombro, con las rodillas en el piso. La regresión correcta, no una versión menor.",
Zancada con manos en el piso,core,variant,El mejor estiramiento del mundo,,,96,"Sin rotación: quédate en la zancada profunda con las dos manos apoyadas, dejando caer la cadera.",
Figura 4 sentado,core,variant,Paloma (pigeon),,,98,"Sentado al borde de la cama, tobillo sobre la rodilla contraria, inclinación suave hacia adelante.",
Mariposa sentado,core,variant,Barridos 90-90 de cadera,,,100,"Plantas de los pies juntas, rodillas hacia afuera, inclinación suave hacia adelante desde la cadera.",
Zancada baja con glúteo activo,core,variant,Couch stretch,,,103,"Sin apoyar el pie en la cama: zancada baja, rodilla atrás en el piso, glúteo apretado, cadera adelante.",
Cobra sostenida,core,variant,Postura del niño a cobra,,,103,"Boca abajo, manos bajo los hombros, pecho arriba y cadera en el piso. Si lo que necesitas es extensión.",
Crunch corto,core,variant,Toques de talón (pingüinos),,,107,"Manos detrás de la cabeza sin tirar del cuello, despega solo los omóplatos. Rango corto, tensión constante.",
Descenso de piernas,core,variant,Dead bug,,,108,"Sin brazos: piernas a 90°, baja una por vez hasta rozar el piso con el talón, siempre con la lumbar apoyada.",
Almeja con minibanda,recuperacion,variant,Almeja lenta,Minibanda,,108,"Banda por encima de las rodillas. Mismo movimiento contra resistencia, y la bajada tan lenta como la subida.",
