year,month,race,location,distance,finish_time,note,confidence
2007,,Nike 10K,Buenos Aires AR,10K,00:55:00,First race ever. Still has the shirt.,approx
2009,,First half marathon,AR,21K,,Ran it carrying significant excess weight. Time not recorded.,missing
2011,,First marathon,AR,MARATHON,03:23:00,Debut. No gels/electrolytes/caffeine strategy — that world was not on his radar yet.,stated
2011,,10K,AR,10K,00:41:00,,stated
2011,12,10K,AR,10K,00:39:59,First sub-40. Age 23-24.,approx
2016,,Maratón de Buenos Aires,Buenos Aires AR,MARATHON,03:35:00,No coach. Three weeks before NYC.,stated
2016,11,TCS New York City Marathon,New York US,MARATHON,04:11:00,Lottery entry. Walked a lot — underestimated the race and had not recovered from Buenos Aires three weeks earlier.,stated
2018,,Maratón de Rosario,Rosario AR,MARATHON,03:41:00,,stated
2018,,Maratón de Buenos Aires,Buenos Aires AR,MARATHON,03:30:00,,stated
2021,,Solo marathon,AR,MARATHON,03:10:00,"Mendoza was cancelled (COVID); ran the distance on his own. ""Where I really felt the speed.""",stated
2021,11,Half de Santa Ana,,70.3,05:05:00,15 days before Ironman Cozumel. Half-distance debut.,stated
2021,11,IRONMAN Cozumel,Cozumel MX,IRONMAN,10:06:00,"Full-distance debut with no prior sprint or Olympic racing. ""Estaba para más"" — believes a smarter race was sub-10.",stated
2022,3,IRONMAN 70.3 San Juan,San Juan AR,70.3,05:05:00,,stated
2022,,IRONMAN Florianópolis,Florianópolis BR,IRONMAN,10:59:00,,stated
2022,11,IRONMAN Argentina,AR,IRONMAN,11:14:00,"Marathon leg ~4:30 in severe conditions — two months after his 2:58:29 marathon PB.",stated
2022,9,Maratón de Buenos Aires,Buenos Aires AR,MARATHON,02:58:29,"PB and first sub-3. Qualified him for Boston 2024. Set in the same year as two full Ironmans.",stated
2023,,First ultra,AR,110K,,First ultra distance. Time not recorded.,missing
2023,,Maratón de Mendoza,Mendoza AR,MARATHON,03:00:30,Missed a repeat sub-3 by 30 seconds.,stated
2024,4,Boston Marathon,Boston US,MARATHON,03:15:00,Ran on the 2022 Buenos Aires qualifier.,stated
2024,9,Maratón de Buenos Aires,Buenos Aires AR,MARATHON,03:16:00,,stated
2025,,Maratón de Mendoza,Mendoza AR,MARATHON,02:59:00,"Back under 3 hours — still ~30s off the 2022 PB.",stated
2026,,10K,AR,10K,00:40:00,"Age 38. Matches his 2011 time, set at 23-24.",stated
