month,source,twenty_id,tp_id,revenue_status,billing_channel,plan,start_date,first_month,status,charged,list_price,monthly_rate,discount,commission_pct,platform_fee,net,premium_fee,startup_fee,last_rate,churn_date,churn_reason,lead_source,country,sex,language
2026-07,derived,c51e4720-1d3f-4ead-bf98-0b0950a9c5a9,3032225,INTERNAL,,,2020-01-01,2020-01,active,true,0,0,0,0,0.0,0.0,0,0,0,,,OTHER,Argentina,MALE,SPANISH
2026-07,derived,e93d68cd-99a0-4be2-8fea-600899f1a583,1887388,COMP,,,2025-01-01,2025-01,active,true,0,0,0,0,0.0,0.0,9,0,0,,,OTHER,Colombia,FEMALE,SPANISH
2026-07,derived,64d6aca9-0a88-442c-bd3b-57d774888471,6228857,PAYING,ALL_ACCESS,ALL_ACCESS,2026-06-29,2026-06,active,true,29.99,29.99,0.0,3.5,1.05,28.94,9,0,29.99,,,WEBSITE_FORM,Brasil,MALE,PORTUGUESE
2026-07,derived,33f31661-6b8e-4a74-a610-fa0095696256,,PAYING,ALL_ACCESS,ALL_ACCESS,2026-07-04,2026-07,new,true,39.99,39.99,0.0,3.5,1.4,38.59,9,0,39.99,2026-08-04,UNKNOWN,WEBSITE_FORM,,FEMALE,SPANISH
2026-07,derived,bc525441-2cc7-4bcc-8ad9-4b10ddefe0e6,,PAYING,ALL_ACCESS,ALL_ACCESS,2026-07-05,2026-07,new,true,39.99,39.99,0.0,3.5,1.4,38.59,9,0,39.99,2026-08-05,UNKNOWN,WEBSITE_FORM,,MALE,SPANISH
2026-07,derived,06e588d4-1bad-4cfa-9688-a31993d086f1,5125390,PAYING,COACHMATCH,BRONZE,2024-11-14,2024-11,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,,,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,0c6c7b67-99b1-45cd-8dfb-7932103b3bcf,873032,PAYING,COACHMATCH,BRONZE,2026-02-02,2026-02,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,15a44855-bc31-42b2-9cd5-d661be25d603,5026363,PAYING,COACHMATCH,BRONZE,2024-05-01,2024-05,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,,,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,1dabc2be-ba10-43e2-ade7-334cf8126d03,4487137,PAYING,COACHMATCH,BRONZE,2025-01-29,2025-01,active,true,149,89.4,59.6,20,17.88,71.52,0,0,89.4,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,202393e5-feb0-4239-9670-3df503017cdb,6156342,PAYING,COACHMATCH,BRONZE,2026-05-03,2026-05,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Panama,MALE,SPANISH
2026-07,derived,2253f7eb-2b71-4590-b14b-8b6b0dce4b22,586428,PAYING,COACHMATCH,BRONZE,2026-05-26,2026-05,active,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Mexico,MALE,SPANISH
