plan_id,plan_name,language,sport,distance,difficulty,weeks,price,is_published,units_all_time,gross_all_time,earnings_all_time,first_sale,last_sale,in_inventory
493939,[2026 Weight loss] 16 weeks plan - Ride 🚴 + Run 🏃 + Lift 🏋️,English,Duathlon,Olympic,Beginner,16,59.99,TRUE,23,1369.35,915.31,2024-09-19,2026-06-26,TRUE
415231,Plan 16 Semanas: 21 km / Media Maratón Base 🏃 (Principiantes - Polarizado a piramidal),Spanish,Running,21 km,Beginner,16,59.99,TRUE,21,701.72,484.61,2023-11-08,2025-07-11,TRUE
480116,Plan 20 Semanas: Triatlón Olímpico + Gym 🏋️ (Avanzado),Spanish,Triathlon,Olympic,Advanced,20,59.99,TRUE,10,632.23,436.46,2025-01-20,2026-07-17,TRUE
480015,Plan 12 Semanas: Base Triatlón 🏊🚴🏃 + Gym 🏋️ - Mantenimiento - Pre temporada,Spanish,Triathlon,Base,Beginner,12,49.99,TRUE,11,547.38,379.19,2024-10-31,2026-05-11,TRUE
439917,Plan 16 Semanas: 21 km / Media Maratón Build 🏃 (Intermedios Polarizado a piramidal),Spanish,Running,21 km,Intermediate,16,59.99,TRUE,9,461.29,317.76,2023-12-09,2025-06-09,TRUE
391110,Plan 8 Semanas: 10 km Base 🏃 (Principiante),Spanish,Running,10 km,Beginner,8,24.99,TRUE,19,443.78,305.41,2023-04-30,2025-12-05,TRUE
480288,Plan 23 Semanas: Powerman Full 🏃🚴 + Gym 🏋️ (Avanzado),Spanish,Duathlon,Dua full,Advanced,23,79.99,TRUE,5,397.18,268.22,2024-08-06,2026-06-13,TRUE
441250,Plan 20 Semanas: Triatlón HALF / Media Distancia Build 🏊🚴🏃 (Polarizado 80/20),Spanish,Triathlon,Half,Intermediate,19,69.99,TRUE,6,374.75,257.83,2023-12-14,2026-06-29,TRUE
493925,[Objetivo 2026] Plan 16 Semanas: Bajar de Peso - Mix 🏃🚴 + Gym 🏋️ (Cross-Training),Spanish,Duathlon,Dua Classic,Beginner,16,59.99,TRUE,6,366.40,250.02,2024-09-15,2026-03-31,TRUE
401095,4 Week 70.3 Swim Prep: Reach 1900m (Half Distance),English,Swimming,1900m,Intermediate,4,24.99,TRUE,14,357.80,246.02,2023-10-07,2026-04-11,TRUE
429685,Plan 13 Semanas: Triatlón Olímpico 🏊🚴🏃 (Polarizado 80/20),Spanish,Triathlon,Olympic,Advanced,13,49.99,TRUE,8,351.44,245.99,2024-06-04,2026-01-10,TRUE
