# Triaperformance total earnings by month, all time.
# Source: TrainingPeaks payout history, exported by Ivan September 5, 2026.
# Owner of the figures derived from this file: triaperformance-business-overview.md
#   section "Revenue history". Current-month and point-in-time figures are NOT
#   owned here -- they belong to the latest monthly-close/YYYY-MM.md.
# Units: USD, net earnings to Ivan (after TrainingPeaks commission), not gross.
# 2026-09 is a PARTIAL month (exported September 5, 2026) -- do not annualise it.
month,coaching_1_1,marketplace_plans,all_access_subscriptions,total
2023-01,0,14,0,14
2023-02,0,24,0,24
2023-03,0,10,0,10
2023-04,0,53,0,53
2023-05,0,39,0,39
2023-06,60,62,0,122
2023-07,60,85,0,145
2023-08,60,58,0,118
2023-09,56,97,0,153
2023-10,103,97,0,200
2023-11,108,79,0,187
2023-12,57,228,0,285
2024-01,112,220,0,332
2024-02,57,73,0,130
2024-03,0,373,0,373
2024-04,0,227,0,227
2024-05,300,257,0,556
2024-06,469,289,0,758
2024-07,867,203,0,1071
2024-08,574,404,0,978
2024-09,627,404,0,1031
2024-10,740,263,0,1003
2024-11,821,605,0,1426
2024-12,2051,503,0,2555
2025-01,1582,949,0,2531
2025-02,1697,589,0,2286
2025-03,1792,477,0,2270
2025-04,1923,311,0,2234
2025-05,2603,505,0,3108
2025-06,2500,524,0,3024
2025-07,2831,296,0,3127
2025-08,2878,654,0,3532
2025-09,3094,315,0,3409
2025-10,3729,273,0,4002
2025-11,3404,484,0,3888
2025-12,3190,469,0,3659
2026-01,3558,724,59,4369
2026-02,4119,462,59,4640
2026-03,3710,465,59,4235
2026-04,3461,675,59,4195
2026-05,3262,646,59,3967
2026-06,3248,847,50,4145
2026-07,3182,302,79,3563
2026-08,3196,212,20,3428
2026-09,2817.6,0,19.9,2838
