plan_id,plan_name,language,sport,distance,difficulty,price,weeks,web,link,pace_based,hr_based,power_based,strength,weight_loss,time_goal,is_published,8020_level,colection,pixel,url,send_to_big_query?,sent_to_big_query,TP_SUB,
368997,4 Week Swim Booster: Speed Focus (Beginner),English,Swimming,Speed,Beginner,24.99,4,https://www.trainingpeaks.com/my-training-plans/swim-english,https://www.trainingpeaks.com/training-plans/other/swimming/tp-368997/4-week-polarized-to-improve-speed-garmin-structured-workouts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=368997&price=24.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=368997&price=24.99,TRUE,TRUE,TRUE,"Sport: Swimming, Focus / distance: Speed, Difficulty: Beginner, Price: USD 24.99, Duration in weeks: 4 , Plan name in trainingpeaks marketplace: 4 Week Swim Booster: Speed Focus (Beginner)"
380280,8 Week 5 km Prep: Run 🏃 (First Timer Focus),English,Running,5 km,Beginner,39.99,8,https://www.trainingpeaks.com/my-training-plans/running-en,https://www.trainingpeaks.com/training-plans/running/5km/tp-380280/5-km-for-beginners-science-based-polarized-80-20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=380280&price=39.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=380280&price=39.99,TRUE,TRUE,TRUE,"Sport: Running, Focus / distance: 5 km, Difficulty: Beginner, Price: USD 39.99, Duration in weeks: 8 , Plan name in trainingpeaks marketplace: 8 Week 5 km Prep: Run 🏃 (First Timer Focus)"
380334,12 Week 5 km Prep: Run 🏃 (Extended Base),English,Running,5 km,Beginner,49.99,12,https://www.trainingpeaks.com/my-training-plans/running-en,https://www.trainingpeaks.com/training-plans/running/5km/tp-380334/5-km-for-beginners-extended-science-based-polarized-80-20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=380334&price=49.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=380334&price=49.99,TRUE,TRUE,TRUE,"Sport: Running, Focus / distance: 5 km, Difficulty: Beginner, Price: USD 49.99, Duration in weeks: 12 , Plan name in trainingpeaks marketplace: 12 Week 5 km Prep: Run 🏃 (Extended Base)"
390919,Plan 8 Semanas: 5 km base 🏃 (Principiantes),Spanish,Running,5 km,Beginner,39.99,8,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/5km/tp-390919/5-km-para-principiantes-sistema-polarizado-80-20-soporte-por-mail-ilimitado,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=390919&price=39.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=390919&price=39.99,TRUE,TRUE,FALSE,"Sport: Running, Focus / distance: 5 km, Difficulty: Beginner, Price: USD 39.99, Duration in weeks: 8 , Plan name in trainingpeaks marketplace: Plan 8 Semanas: 5 km base 🏃 (Principiantes)"
391102,Plan 12 Semanas: 5 km base 🏃 (Intermedio Polarizado),Spanish,Running,5 km,Beginner,49.99,12,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/5km/tp-391102/5-km-para-principiantes-extendido-sistema-polarizado-80-20-soporte-por-mail-ilim,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391102&price=49.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391102&price=49.99,TRUE,TRUE,FALSE,"Sport: Running, Focus / distance: 5 km, Difficulty: Beginner, Price: USD 49.99, Duration in weeks: 12 , Plan name in trainingpeaks marketplace: Plan 12 Semanas: 5 km base 🏃 (Intermedio Polarizado)"
391110,Plan 8 Semanas: 10 km Base 🏃 (Principiante),Spanish,Running,10 km,Beginner,24.99,8,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/10km/tp-391110/10-km-para-principiantes-sistema-polarizado-80-20-soporte-por-mail-ilimitado,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391110&price=24.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391110&price=24.99,TRUE,TRUE,TRUE,"Sport: Running, Focus / distance: 10 km, Difficulty: Beginner, Price: USD 24.99, Duration in weeks: 8 , Plan name in trainingpeaks marketplace: Plan 8 Semanas: 10 km Base 🏃 (Principiante)"
391113,Plan 12 Semanas: 10 km 🏃 (Intermedios),Spanish,Running,10 km,Intermediate,39.99,12,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/10km/tp-391113/10-km-para-principiantes-extendido-sistema-polarizado-80-20-soporte-por-mail-ili,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391113&price=39.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391113&price=39.99,TRUE,TRUE,TRUE,"Sport: Running, Focus / distance: 10 km, Difficulty: Intermediate, Price: USD 39.99, Duration in weeks: 12 , Plan name in trainingpeaks marketplace: Plan 12 Semanas: 10 km 🏃 (Intermedios)"
391449,Plan 8 Semanas: 5 km build 🏃 (Intermedios),Spanish,Running,5 km,Intermediate,40.00,8,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/5km/tp-391449/5-km-para-intermedios-sistema-polarizado-80-20-soporte-por-mail-ilimitado,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391449&price=40' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391449&price=40,TRUE,TRUE,FALSE,"Sport: Running, Focus / distance: 5 km, Difficulty: Intermediate, Price: USD 40, Duration in weeks: 8 , Plan name in trainingpeaks marketplace: Plan 8 Semanas: 5 km build 🏃 (Intermedios)"
391451,Plan 12 Semanas: 5k Build 🏃 (Intermedio Polarizado),Spanish,Running,5 km,Intermediate,49.99,12,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/5km/tp-391451/5-km-para-intermedios-extendido-sistema-polarizado-80-20-soporte-por-mail-ilimit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391451&price=49.99' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391451&price=49.99,TRUE,TRUE,FALSE,"Sport: Running, Focus / distance: 5 km, Difficulty: Intermediate, Price: USD 49.99, Duration in weeks: 12 , Plan name in trainingpeaks marketplace: Plan 12 Semanas: 5k Build 🏃 (Intermedio Polarizado)"
391452,Plan 8 Semanas: 5 km peak 🏃 (Avanzados),Spanish,Running,5 km,Advanced,40.00,8,https://www.trainingpeaks.com/my-training-plans/running-es,https://www.trainingpeaks.com/training-plans/running/5km/tp-391452/5-km-para-avanzados-sistema-polarizado-80-20-soporte-por-mail-ilimitado,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,<img src='https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391452&price=40' alt='' width='1' height='1' />,https://plan-tracker-bigquery-886839543547.us-central1.run.app?plan_id=391452&price=40,TRUE,TRUE,FALSE,"Sport: Running, Focus / distance: 5 km, Difficulty: Advanced, Price: USD 40, Duration in weeks: 8 , Plan name in trainingpeaks marketplace: Plan 8 Semanas: 5 km peak 🏃 (Avanzados)"
