sport,metric,zone,floor_pct,ceiling_pct
running,lthr,1,72.0,81.0
running,pace,1,60.0,76.0
running,rftp,1,50.0,76.0
running,lthr,2,81.0,90.0
running,pace,2,76.0,87.0
running,rftp,2,76.0,88.0
running,lthr,X,90.0,95.0
running,pace,X,87.0,93.0
running,rftp,X,88.0,94.0
running,lthr,3,95.0,100.0
running,pace,3,93.0,100.0
running,rftp,3,94.0,100.0
running,lthr,Y,100.0,102.0
running,pace,Y,100.0,102.0
running,rftp,Y,100.0,103.0
running,lthr,4,102.0,105.0
running,pace,4,102.0,115.0
running,rftp,4,103.0,120.0
running,lthr,5,105.0,120.0
running,pace,5,115.0,140.0
running,rftp,5,120.0,150.0
cycling,lthr,1,72.0,81.0
cycling,ftp,1,50.0,70.0
cycling,lthr,2,81.0,90.0
cycling,ftp,2,70.0,83.0
cycling,lthr,X,90.0,95.0
cycling,ftp,X,83.0,91.0
cycling,lthr,3,95.0,100.0
cycling,ftp,3,91.0,100.0
cycling,lthr,Y,100.0,102.0
cycling,ftp,Y,100.0,102.0
cycling,lthr,4,102.0,105.0
cycling,ftp,4,102.0,110.0
cycling,lthr,5,105.0,120.0
cycling,ftp,5,110.0,150.0
swimming,cv,1,75.0,84.0
swimming,cv,2,84.0,91.0
swimming,cv,X,91.0,96.0
swimming,cv,3,96.0,100.0
swimming,cv,Y,100.0,102.0
swimming,cv,4,102.0,106.0
swimming,cv,5,106.0,140.0
